video_id,category,days_observed,first_age_days,first_daily_views,last_views,half_life_days
mE9oqeXj4WY,people_blogs,4,3.02,224788,1381198,1.35
mEtJAblVxxU,entertainment,6,1.17,366623,922301,2.452
mG9kK9TgxkQ,entertainment,4,2.24,14930,65197,1.042
mGAdg2lB6nQ,music,4,3.24,16121,131240,4.339
mHbWgIy3wmo,entertainment,18,1.34,232333,1009538,3.345
mHd8Ug4ljN4,entertainment,10,5.42,64769,735189,8.101
mIxlvVlOIS0,music,5,1.45,243569,1352763,3.963
mKpW_rj0tuI,howto,6,2.17,31905,246944,2.122
mLuzmXLORSg,comedy,9,3.22,39924,260580,1.33
mMJVmCSuxxo,howto,7,6.08,7220,285213,3.624
mMtjGYdJOps,people_blogs,13,2.01,426371,3087952,3.601
mMzKvVtrC6U,entertainment,11,1.5,127723,1294681,9.726
mN-rI2I0HaQ,howto,6,1.04,56768,184982,2.35
mN4JWnTOSmg,people_blogs,4,4.15,5084,27571,2.689
mNKwe9k55fs,film,9,9.21,34612,1372300,3.828
mNj27CgDAhQ,entertainment,5,1.89,73553,456543,1.798
mQ055hHdxbE,music,20,1.43,1188923,5948415,12.172
mQ8sFRuDyiU,entertainment,4,2.33,28297,100896,2.2
mSVkk9lLv1Y,comedy,5,2.17,115986,1037921,1.525
mSgDg1oiOCs,entertainment,5,1.17,14638,56894,1.469
mTHLyCqtLJE,howto,5,1.07,413657,1099145,1.399
mUSv8b-V5I4,autos,5,2.29,119232,1279582,4.373
mUYsp5baMXo,music,4,1.71,337486,5517903,
mXJ7wX6CVDk,entertainment,6,1.46,72480,292715,1.396
mXiFHDfvn4A,people_blogs,8,1.66,529381,2604392,2.675
mZ2qbwvAVjs,people_blogs,10,1.24,92956,178717,1.581
maAa7J3iEM8,entertainment,8,2.37,168845,1166324,2.247
mbAPZq5HFAE,people_blogs,5,1.18,116828,292375,0.89
mcqWcLDUeag,entertainment,5,1.57,21045,153341,0.827
mcsTWPSMDtg,people_blogs,8,1.33,324810,2226074,4.771
